"ID Científico","Nombre Completo","Especialidad","Grado Académico","Institución","País","Nivel de Acceso","Estado","Correo Electrónico","Fecha Nacimiento","Fecha Ingreso","Publicaciones"
"CE-80296","Andrea Ortega Castillo","Inmunología Avanzada","Doctorado en Biología Molecular","Universidad de Córdoba","España","NIVEL-1 Básico","Activo","andrea.ortega.castil@progenitor.edu","28/02/1975","21/11/2018","15"
"CE-75554","Jorge López Muñoz","Criobiología","Doctorado en Microbiología","Pontificia Universidad Javeriana","México","NIVEL-4 Secreto","Suspendido","jorge.lópez.muñoz@arklay-science.com","27/04/1994","11/09/2013","119"
"CE-34431","Roberto Vega Vargas","Nanotecnología Biomédica","Ph.D. en Farmacología","Centro Internacional de Agricultura Tropical","México","NIVEL-5 Umbra","En revisión","roberto.vega.vargas@umbrella-corp.com","22/01/1971","20/07/2021","21"
"CE-21491","Lucía Reyes Guerrero","Farmacología Experimental","M.D. Ph.D.","CINARA","México","NIVEL-4 Secreto","Activo","lucía.reyes.guerrero@umbrella-corp.com","24/05/1979","25/07/2015","31"
"CE-99516","Jorge Jiménez Ramos","Farmacología Experimental","M.D. Ph.D.","CINARA","España","NIVEL-5 Umbra","Activo","jorge.jiménez.ramos@arklay-science.com","07/02/1990","25/12/2010","84"
"CE-74941","Valentina Ríos Díaz","Biotecnología Genómica","Ph.D. en Farmacología","Universidad de Antioquia","Brasil","NIVEL-5 Umbra","En revisión","valentina.ríos.díaz@hcf-research.net","28/11/1962","20/09/2013","113"
"CE-10561","Paola Cruz Jiménez","Genética Forense","M.D. Ph.D.","Universidad del Cauca","Argentina","NIVEL-3 Confidencial","Suspendido","paola.cruz.jiménez@hcf-research.net","06/04/1964","18/10/2011","36"
"CE-90819","Roberto Mendoza Sánchez","Farmacología Experimental","Doctorado en Biología Molecular","Universidad Nacional de Colombia","Argentina","NIVEL-4 Secreto","Activo","roberto.mendoza.sánc@umbrella-corp.com","11/10/1964","09/10/2010","96"
"CE-75001","Natalia Rodríguez Jiménez","Epidemiología Computacional","Doctorado en Medicina","UNAL Medellín","Brasil","NIVEL-5 Umbra","Suspendido","natalia.rodríguez.ji@arklay-science.com","18/05/1980","08/05/2018","30"
"CE-60470","Fernando López Delgado","Bioquímica Estructural","Ph.D. en Farmacología","Instituto Humboldt","Colombia","NIVEL-3 Confidencial","Activo","fernando.lópez.delga@nest-lab.org","05/11/1970","13/06/2023","6"
"CE-26778","Gabriela Herrera Martínez","Neurociencias","Doctorado en Medicina","Pontificia Universidad Javeriana","Chile","NIVEL-1 Básico","Activo","gabriela.herrera.mar@umbrella-corp.com","09/05/1990","24/09/2012","23"
"CE-68674","Paula Morales Fernández","Nanotecnología Biomédica","M.D. Ph.D.","Universidad Nacional de Colombia","Venezuela","NIVEL-3 Confidencial","Activo","paula.morales.fernán@arklay-science.com","08/12/1967","23/07/2014","118"
"CE-17059","Laura López Guerrero","Nanotecnología Biomédica","Doctorado en Microbiología","Universidad Nacional de Colombia","Colombia","NIVEL-4 Secreto","Activo","laura.lópez.guerrero@progenitor.edu","10/07/1989","04/01/2018","76"
"CE-52288","Paola Ortega Sánchez","Farmacología Experimental","Ph.D. en Bioquímica","Pontificia Universidad Javeriana","Argentina","NIVEL-2 Restringido","Suspendido","paola.ortega.sánchez@progenitor.edu","22/05/1960","17/04/2023","68"
"CE-73366","Isabela Vega Herrera","Virología Molecular","Ph.D. Bioinformática","Instituto Humboldt","España","NIVEL-4 Secreto","Suspendido","isabela.vega.herrera@nest-lab.org","27/09/1970","01/01/2022","5"
"CE-54155","Claudia López Rodríguez","Microbiología Clínica","Ph.D. en Ciencias Biológicas","Universidad de Córdoba","Venezuela","NIVEL-1 Básico","Activo","claudia.lópez.rodríg@progenitor.edu","01/02/1970","25/06/2015","51"
"CE-54760","Valeria Castro Ruiz","Inmunología Avanzada","M.D. Ph.D.","Universidad del Cauca","Uruguay","NIVEL-1 Básico","Activo","valeria.castro.ruiz@arklay-science.com","09/10/1985","23/03/2022","25"
"CE-28597","Claudia Sánchez López","Bioquímica Estructural","Ph.D. en Bioquímica","Colciencias","Brasil","NIVEL-1 Básico","Activo","claudia.sánchez.lópe@nest-lab.org","14/10/1976","06/12/2018","9"
"CE-21156","Gustavo Muñoz Medina","Oncología Molecular","M.Sc. Biotecnología","Universidad del Cauca","México","NIVEL-4 Secreto","Activo","gustavo.muñoz.medina@umbrella-corp.com","02/01/1974","13/01/2020","35"
"CE-76709","María González Castro","Nanotecnología Biomédica","Ph.D. en Bioquímica","Universidad del Cauca","Chile","NIVEL-2 Restringido","En revisión","maría.gonzález.castr@nest-lab.org","26/12/1977","01/05/2015","95"
"CE-53566","Pablo Salazar Mendoza","Biotecnología Genómica","Ph.D. en Química","Colciencias","Uruguay","NIVEL-4 Secreto","Suspendido","pablo.salazar.mendoz@umbrella-corp.com","19/11/1985","07/10/2019","105"
"CE-48333","Valeria Torres Vega","Epidemiología Computacional","M.D. Ph.D.","Centro Internacional de Agricultura Tropical","Chile","NIVEL-4 Secreto","Activo","valeria.torres.vega@umbrella-corp.com","17/06/1965","09/09/2010","21"
"CE-94705","Sergio Sánchez Ramos","Inmunología Avanzada","Ph.D. en Neurociencias","Universidad del Valle","España","NIVEL-1 Básico","Activo","sergio.sánchez.ramos@nest-lab.org","16/07/1987","01/04/2015","47"
"CE-61965","Valeria Morales Salazar","Farmacología Experimental","M.D. Ph.D.","Pontificia Universidad Javeriana","México","NIVEL-3 Confidencial","Activo","valeria.morales.sala@arklay-science.com","14/05/1990","05/08/2013","58"
"CE-90116","Valentina Muñoz Castillo","Criobiología","M.D. Ph.D.","Instituto Humboldt","Uruguay","NIVEL-2 Restringido","Suspendido","valentina.muñoz.cast@arklay-science.com","25/12/1979","11/06/2017","48"
"CE-45353","María Jiménez Reyes","Virología Molecular","Ph.D. Bioinformática","Centro Internacional de Agricultura Tropical","Uruguay","NIVEL-3 Confidencial","En revisión","maría.jiménez.reyes@hcf-research.net","04/05/1978","01/07/2014","29"
"CE-48837","Natalia Fernández Medina","Neurociencias","M.Sc. Genómica","Universidad Nacional de Colombia","Ecuador","NIVEL-4 Secreto","En revisión","natalia.fernández.me@nest-lab.org","28/11/1967","25/04/2010","71"
"CE-51960","Miguel Reyes Ríos","Bioquímica Estructural","M.D. Ph.D.","Universidad del Valle","Uruguay","NIVEL-2 Restringido","En revisión","miguel.reyes.ríos@hcf-research.net","27/12/1978","27/10/2017","40"
"CE-80230","Diego Torres Ortega","Biotecnología Genómica","M.Sc. Biotecnología","Instituto Nacional de Salud","Ecuador","NIVEL-5 Umbra","En revisión","diego.torres.ortega@arklay-science.com","22/04/1965","22/05/2018","73"
"CE-53022","Gabriela Delgado Romero","Toxicología Ambiental","M.D. Ph.D.","Universidad de Córdoba","Argentina","NIVEL-1 Básico","En revisión","gabriela.delgado.rom@hcf-research.net","04/12/1985","26/01/2010","72"
"CE-15013","Carlos Ríos Medina","Bioquímica Estructural","M.D. Ph.D.","Universidad de los Andes","Ecuador","NIVEL-1 Básico","Activo","carlos.ríos.medina@arklay-science.com","19/05/1967","14/04/2018","38"
"CE-62267","Claudia Ramos Castillo","Biotecnología Genómica","M.Sc. Genómica","UNAL Medellín","Uruguay","NIVEL-4 Secreto","Activo","claudia.ramos.castil@nest-lab.org","17/11/1985","20/06/2013","53"
"CE-12101","Iván Reyes Díaz","Parasitología Molecular","M.Sc. Genómica","Instituto Nacional de Salud","Argentina","NIVEL-3 Confidencial","Suspendido","iván.reyes.díaz@nest-lab.org","09/04/1978","19/03/2011","68"
"CE-27416","Andrés Torres Ruiz","Virología Molecular","Ph.D. en Bioquímica","Universidad Industrial de Santander","Perú","NIVEL-5 Umbra","En revisión","andrés.torres.ruiz@nest-lab.org","26/05/1983","10/08/2012","84"
"CE-16313","Lucía Ramos Díaz","Parasitología Molecular","Ph.D. en Farmacología","Universidad Industrial de Santander","España","NIVEL-4 Secreto","Activo","lucía.ramos.díaz@arklay-science.com","03/09/1991","17/07/2016","79"
"CE-29306","Fernando Torres Martínez","Genética Forense","Ph.D. en Bioquímica","Colciencias","Ecuador","NIVEL-4 Secreto","En revisión","fernando.torres.mart@hcf-research.net","02/01/1991","01/01/2018","21"
"CE-39531","Ramón González Cruz","Neurociencias","M.Sc. Genómica","Universidad Industrial de Santander","México","NIVEL-3 Confidencial","Activo","ramón.gonzález.cruz@progenitor.edu","12/01/1984","10/05/2021","42"
"CE-48335","Patricia Castro Morales","Oncología Molecular","Ph.D. Bioinformática","Universidad del Valle","Venezuela","NIVEL-5 Umbra","Activo","patricia.castro.mora@nest-lab.org","03/12/1990","17/03/2022","26"
"CE-99908","Miguel Mendoza Ortega","Nanotecnología Biomédica","M.D. Ph.D.","Pontificia Universidad Javeriana","Venezuela","NIVEL-1 Básico","Activo","miguel.mendoza.orteg@umbrella-corp.com","03/03/1978","06/09/2019","26"
"CE-52884","Isabela Reyes Morales","Criobiología","Ph.D. en Neurociencias","Instituto Nacional de Salud","Perú","NIVEL-1 Básico","Activo","isabela.reyes.morale@nest-lab.org","20/09/1990","13/12/2013","99"
"CE-76685","Eduardo Salazar Castro","Bioquímica Estructural","Ph.D. en Bioquímica","Universidad Nacional de Colombia","Venezuela","NIVEL-5 Umbra","Activo","eduardo.salazar.cast@hcf-research.net","12/06/1979","18/01/2012","101"
"CE-93824","Rosa Ruiz Díaz","Neurociencias","M.D. Ph.D.","Instituto Humboldt","Ecuador","NIVEL-2 Restringido","Activo","rosa.ruiz.díaz@arklay-science.com","23/03/1960","05/02/2022","79"
"CE-24722","Catalina Castro Delgado","Epidemiología Computacional","M.Sc. Genómica","Universidad de los Andes","Uruguay","NIVEL-1 Básico","En revisión","catalina.castro.delg@nest-lab.org","27/01/1960","02/01/2014","39"
"CE-60294","Iván Romero Jiménez","Inmunología Avanzada","Ph.D. en Ciencias Biológicas","Universidad Tecnológica de Pereira","Uruguay","NIVEL-2 Restringido","Activo","iván.romero.jiménez@hcf-research.net","01/06/1960","15/08/2013","17"
"CE-25657","Diego Sánchez Pérez","Biología Sintética","M.Sc. Biotecnología","Universidad del Valle","Venezuela","NIVEL-5 Umbra","Suspendido","diego.sánchez.pérez@nest-lab.org","18/05/1975","19/01/2011","10"
"CE-83403","Rosa Pérez Vega","Microbiología Clínica","Ph.D. Bioinformática","Universidad Nacional de Colombia","Perú","NIVEL-5 Umbra","Activo","rosa.pérez.vega@hcf-research.net","11/01/1988","11/01/2021","18"
"CE-76996","Alejandro Fernández Salazar","Nanotecnología Biomédica","M.D. Ph.D.","Centro Internacional de Agricultura Tropical","México","NIVEL-2 Restringido","Suspendido","alejandro.fernández.@progenitor.edu","01/01/1966","18/12/2015","94"
"CE-69248","Iván Sánchez Ruiz","Nanotecnología Biomédica","Doctorado en Medicina","Centro Internacional de Agricultura Tropical","España","NIVEL-3 Confidencial","Activo","iván.sánchez.ruiz@umbrella-corp.com","04/02/1980","24/08/2015","83"
"CE-67739","Paula Vega Martínez","Bioquímica Estructural","Ph.D. en Farmacología","Universidad Industrial de Santander","Brasil","NIVEL-4 Secreto","Activo","paula.vega.martínez@progenitor.edu","03/07/1964","19/07/2018","30"
"CE-69898","Laura Medina Castillo","Neurociencias","Ph.D. en Bioquímica","Centro Internacional de Agricultura Tropical","Chile","NIVEL-1 Básico","En revisión","laura.medina.castill@nest-lab.org","02/06/1970","06/07/2015","91"
"CE-31521","Luis Rodríguez Castro","Neurociencias","Ph.D. en Química","Instituto Nacional de Salud","Brasil","NIVEL-5 Umbra","Activo","luis.rodríguez.castr@arklay-science.com","11/03/1992","09/09/2013","91"
"CE-59844","Daniela Mendoza López","Nanotecnología Biomédica","Ph.D. en Química","CINARA","España","NIVEL-5 Umbra","Suspendido","daniela.mendoza.lópe@hcf-research.net","07/02/1973","28/09/2016","0"
"CE-19229","Elena Salazar Medina","Parasitología Molecular","M.D. Ph.D.","UNAL Medellín","Venezuela","NIVEL-1 Básico","Activo","elena.salazar.medina@arklay-science.com","23/05/1988","03/11/2023","110"
"CE-18725","Felipe Ruiz Sánchez","Inmunología Avanzada","M.D. Ph.D.","Universidad Industrial de Santander","España","NIVEL-2 Restringido","En revisión","felipe.ruiz.sánchez@arklay-science.com","19/10/1994","04/11/2020","30"
"CE-67437","Gabriela Delgado Ríos","Criobiología","M.D. Ph.D.","Universidad del Valle","Uruguay","NIVEL-1 Básico","En revisión","gabriela.delgado.río@nest-lab.org","21/06/1963","15/02/2014","78"
"CE-95980","Rosa Romero Guerrero","Criobiología","Doctorado en Biología Molecular","Centro Internacional de Agricultura Tropical","Perú","NIVEL-4 Secreto","En revisión","rosa.romero.guerrero@nest-lab.org","19/11/1963","16/12/2017","38"
"CE-76284","Héctor Ríos Díaz","Farmacología Experimental","Doctorado en Biología Molecular","Universidad Industrial de Santander","Chile","NIVEL-2 Restringido","Activo","héctor.ríos.díaz@arklay-science.com","04/07/1969","09/09/2015","61"
"CE-85815","Manuel Vargas Morales","Nanotecnología Biomédica","Ph.D. en Bioquímica","Universidad de Antioquia","Argentina","NIVEL-4 Secreto","Activo","manuel.vargas.morale@nest-lab.org","16/04/1963","25/07/2010","98"
"CE-41444","Natalia Ramos Castillo","Genética Forense","Ph.D. en Química","Universidad de Antioquia","España","NIVEL-4 Secreto","Activo","natalia.ramos.castil@nest-lab.org","12/04/1976","01/07/2014","17"
"CE-66040","Isabela Morales González","Biología Sintética","Ph.D. en Ciencias Biológicas","Universidad de Córdoba","Brasil","NIVEL-5 Umbra","Activo","isabela.morales.gonz@nest-lab.org","23/02/1990","01/12/2018","89"
"CE-41123","Diego Mendoza Salazar","Biotecnología Genómica","M.D. Ph.D.","Centro Internacional de Agricultura Tropical","Ecuador","NIVEL-3 Confidencial","Suspendido","diego.mendoza.salaza@progenitor.edu","12/11/1986","13/08/2011","19"
"CE-17979","Elena Romero Delgado","Bioquímica Estructural","Ph.D. en Ciencias Biológicas","UNAL Medellín","Ecuador","NIVEL-5 Umbra","Activo","elena.romero.delgado@umbrella-corp.com","16/11/1966","20/01/2015","42"
"CE-17805","Iván Ortega Vega","Biotecnología Genómica","M.D. Ph.D.","Instituto Humboldt","México","NIVEL-3 Confidencial","Activo","iván.ortega.vega@nest-lab.org","08/04/1975","19/05/2020","56"
"CE-88662","Andrea Martínez Ríos","Biotecnología Genómica","Ph.D. en Ciencias Biológicas","Colciencias","Uruguay","NIVEL-5 Umbra","Activo","andrea.martínez.ríos@umbrella-corp.com","11/07/1971","06/11/2020","57"
"CE-80510","Diego Medina Rodríguez","Virología Molecular","Doctorado en Medicina","Universidad de Córdoba","Chile","NIVEL-2 Restringido","Activo","diego.medina.rodrígu@hcf-research.net","07/02/1969","04/05/2019","112"
"CE-86786","Alejandro Vargas Herrera","Genética Forense","M.Sc. Biotecnología","Universidad de los Andes","Uruguay","NIVEL-1 Básico","Activo","alejandro.vargas.her@arklay-science.com","04/07/1993","10/03/2013","94"
"CE-64673","Miguel Castillo Mendoza","Virología Molecular","Ph.D. Bioinformática","Universidad de Córdoba","Colombia","NIVEL-5 Umbra","Activo","miguel.castillo.mend@progenitor.edu","25/05/1987","16/07/2021","89"
"CE-13922","Catalina Díaz Ortega","Biología Sintética","M.Sc. Genómica","Colciencias","Argentina","NIVEL-4 Secreto","Activo","catalina.díaz.ortega@hcf-research.net","26/12/1987","12/12/2016","1"
"CE-29996","Camila López Jiménez","Oncología Molecular","Ph.D. en Neurociencias","Universidad Tecnológica de Pereira","Perú","NIVEL-4 Secreto","En revisión","camila.lópez.jiménez@progenitor.edu","24/06/1970","16/02/2016","89"
"CE-24819","Mariana Pérez Vargas","Epidemiología Computacional","Doctorado en Medicina","Universidad Nacional de Colombia","México","NIVEL-2 Restringido","Activo","mariana.pérez.vargas@progenitor.edu","15/11/1962","07/08/2012","36"
"CE-58695","Isabela Salazar Fernández","Virología Molecular","M.D. Ph.D.","Instituto Nacional de Salud","Colombia","NIVEL-5 Umbra","Activo","isabela.salazar.fern@nest-lab.org","18/11/1969","13/06/2011","97"
"CE-15292","Héctor Muñoz Sánchez","Neurociencias","M.Sc. Biotecnología","Universidad Nacional de Colombia","Perú","NIVEL-1 Básico","Suspendido","héctor.muñoz.sánchez@hcf-research.net","06/09/1963","25/02/2014","42"
"CE-45246","Roberto Romero González","Criobiología","M.Sc. Biotecnología","Universidad de Córdoba","Venezuela","NIVEL-1 Básico","En revisión","roberto.romero.gonzá@umbrella-corp.com","15/08/1995","03/12/2014","57"
"CE-50149","Luis Sánchez Ramos","Microbiología Clínica","Ph.D. en Ciencias Biológicas","Centro Internacional de Agricultura Tropical","Ecuador","NIVEL-4 Secreto","Activo","luis.sánchez.ramos@arklay-science.com","11/10/1989","05/03/2013","118"
"CE-76501","Valentina Mendoza Castro","Bioquímica Estructural","Ph.D. en Bioquímica","Universidad del Cauca","Perú","NIVEL-5 Umbra","Activo","valentina.mendoza.ca@umbrella-corp.com","20/07/1983","09/08/2014","42"
"CE-86071","Rosa Herrera Pérez","Genética Forense","M.D. Ph.D.","Universidad de Antioquia","Argentina","NIVEL-3 Confidencial","Activo","rosa.herrera.pérez@progenitor.edu","07/05/1961","01/09/2015","108"
"CE-93170","Andrea López Medina","Genética Forense","M.Sc. Biotecnología","Universidad de Antioquia","Ecuador","NIVEL-2 Restringido","Activo","andrea.lópez.medina@umbrella-corp.com","22/11/1964","23/09/2013","35"
"CE-45522","Miguel Morales Castro","Toxicología Ambiental","M.D. Ph.D.","CINARA","España","NIVEL-3 Confidencial","Activo","miguel.morales.castr@nest-lab.org","12/12/1973","27/03/2011","84"
"CE-34503","Isabela Díaz Mendoza","Inmunología Avanzada","Ph.D. en Ciencias Biológicas","Instituto Humboldt","Perú","NIVEL-2 Restringido","En revisión","isabela.díaz.mendoza@hcf-research.net","09/12/1988","27/07/2011","1"
"CE-50941","Valentina González Vargas","Neurociencias","M.Sc. Biotecnología","UNAL Medellín","México","NIVEL-3 Confidencial","Activo","valentina.gonzález.v@progenitor.edu","17/11/1972","02/08/2015","95"
"CE-34613","Miguel Medina Muñoz","Inmunología Avanzada","Ph.D. en Química","CINARA","Brasil","NIVEL-4 Secreto","Activo","miguel.medina.muñoz@hcf-research.net","14/09/1968","01/04/2022","12"
"CE-32480","Alberto Delgado Pérez","Virología Molecular","M.D. Ph.D.","Pontificia Universidad Javeriana","Chile","NIVEL-5 Umbra","Activo","alberto.delgado.pére@progenitor.edu","19/05/1966","14/09/2011","66"
"CE-99655","Paula Jiménez Rodríguez","Neurociencias","Ph.D. en Farmacología","Colciencias","Uruguay","NIVEL-2 Restringido","Activo","paula.jiménez.rodríg@hcf-research.net","01/07/1975","28/10/2014","111"
"CE-52524","Gustavo Medina Romero","Parasitología Molecular","Ph.D. en Farmacología","Colciencias","España","NIVEL-2 Restringido","Activo","gustavo.medina.romer@hcf-research.net","08/09/1978","10/10/2019","39"
"CE-98069","Luis Herrera Torres","Inmunología Avanzada","Ph.D. en Química","Centro Internacional de Agricultura Tropical","Perú","NIVEL-2 Restringido","En revisión","luis.herrera.torres@hcf-research.net","16/09/1976","16/07/2013","119"
"CE-82248","Valeria Reyes Ruiz","Inmunología Avanzada","Doctorado en Biología Molecular","UNAL Medellín","Uruguay","NIVEL-4 Secreto","Activo","valeria.reyes.ruiz@nest-lab.org","22/12/1986","11/09/2015","62"
"CE-88703","Héctor Reyes García","Toxicología Ambiental","M.Sc. Biotecnología","Universidad de Córdoba","Brasil","NIVEL-2 Restringido","Activo","héctor.reyes.garcía@arklay-science.com","19/05/1963","16/03/2010","25"
"CE-64851","Catalina Morales Delgado","Genética Forense","Ph.D. en Neurociencias","Universidad Nacional de Colombia","España","NIVEL-1 Básico","Suspendido","catalina.morales.del@hcf-research.net","10/06/1989","23/07/2010","115"
"CE-34541","Lucía Medina Jiménez","Virología Molecular","M.D. Ph.D.","UNAL Medellín","Colombia","NIVEL-4 Secreto","Activo","lucía.medina.jiménez@umbrella-corp.com","11/09/1983","22/07/2018","7"
"CE-55552","Eduardo Salazar Díaz","Biotecnología Genómica","Ph.D. en Bioquímica","Universidad Tecnológica de Pereira","Argentina","NIVEL-4 Secreto","Activo","eduardo.salazar.díaz@progenitor.edu","26/12/1981","02/11/2010","113"
"CE-26976","Roberto Guerrero Reyes","Neurociencias","Doctorado en Microbiología","Universidad del Valle","Brasil","NIVEL-4 Secreto","Activo","roberto.guerrero.rey@hcf-research.net","18/12/1988","18/04/2014","67"
"CE-69603","Miguel Romero Jiménez","Parasitología Molecular","Ph.D. en Farmacología","UNAL Medellín","Perú","NIVEL-4 Secreto","Activo","miguel.romero.jiméne@hcf-research.net","10/05/1975","15/04/2015","69"
"CE-34067","Mariana Díaz Torres","Biotecnología Genómica","M.D. Ph.D.","Universidad Nacional de Colombia","Colombia","NIVEL-2 Restringido","Activo","mariana.díaz.torres@umbrella-corp.com","05/04/1995","27/09/2015","90"
"CE-75365","Patricia Rodríguez Guerrero","Virología Molecular","Doctorado en Biología Molecular","Universidad del Cauca","Chile","NIVEL-2 Restringido","Activo","patricia.rodríguez.g@nest-lab.org","14/06/1964","14/10/2010","12"
"CE-12125","Isabela Sánchez Rodríguez","Farmacología Experimental","Ph.D. en Química","Universidad de los Andes","Uruguay","NIVEL-5 Umbra","Activo","isabela.sánchez.rodr@hcf-research.net","22/05/1970","09/03/2021","108"
"CE-19230","Valeria Díaz Guerrero","Biotecnología Genómica","Ph.D. Bioinformática","Universidad Tecnológica de Pereira","Chile","NIVEL-4 Secreto","Activo","valeria.díaz.guerrer@progenitor.edu","25/07/1973","17/10/2021","12"
"CE-32600","Claudia Vargas Torres","Virología Molecular","Doctorado en Microbiología","Universidad Nacional de Colombia","Brasil","NIVEL-3 Confidencial","Activo","claudia.vargas.torre@hcf-research.net","20/09/1972","06/06/2016","10"
"CE-80831","Eduardo Romero Medina","Neurociencias","Doctorado en Microbiología","Centro Internacional de Agricultura Tropical","España","NIVEL-3 Confidencial","Activo","eduardo.romero.medin@umbrella-corp.com","19/06/1976","19/07/2021","86"
"CE-38366","Miguel Medina Castillo","Biología Sintética","Ph.D. en Ciencias Biológicas","UNAL Medellín","Uruguay","NIVEL-1 Básico","Suspendido","miguel.medina.castil@hcf-research.net","06/12/1989","05/06/2021","111"
